OBJECTID,TERMINAL,TERM_ADDRE
1,"Albany, NY - Mechanicville",50 Route 67
2,"Albuquerque, NM",100 Woodward Road S.E.
3,"Alliance, TX",1111 Intermodal Parkway
4,"Arcadia, WI",One Ashley Way
5,"Atlanta, GA - Austell","6000 Dr. Luke Glenn Garrett, Jr. Memorial Highway"
6,"Atlanta, GA - Hulsey",173 Boulvard S.E.
7,"Atlanta, GA - Inman","1600 Marietta Road NW, Gate 6"
8,"Ayer, MA",133 Barnum Road
9,"Baltimore, MD",4800 East Lombard Street
10,"Baltimore, MD - Seagirt Marine Terminal",4801 Keith Avenue
11,"Bessemer, AL - Central Alabama ICTF (CAICTF)",2401 5th Avenue
12,"Bethlehem, PA",2400 Commerce Center Boulevard
13,"Birmingham, AL",7100 Crescent Way
14,"Blue Island, IL",2050 Prairie Street
15,"Buffalo, NY",257 Lake Avenue
16,"Buffalo, NY",500 Bison Parkway
17,"Chambersburg, PA",700 Kriner Road
18,"Charleston, SC",4201 Meeting Street
19,"Charlotte, NC",5430 Hovis Road
20,"Charlotte, NC",5710 West Boulevard
21,"Chiacgo, IL - Dolton (Yard Center)",147th Street & Indiana Avenue
22,"Chiacgo, IL - Northlake (Global II)",301 W. Lake Street
23,"Chicago, IL -  59th Street",2101 West 59th Street
24,"Chicago, IL -  Bedford Park",7000 West 71st Street
25,"Chicago, IL - 14th Street (Global I)",1425 South Western Avenue
26,"Chicago, IL - 47th Street",361 West 47th Street
27,"Chicago, IL - 63rd Street",169 East 63rd Street
28,"Chicago, IL - Calumet",2040 East 106th Street
29,"Chicago, IL - Cicero",5601 West 26th Street
30,"Chicago, IL - Corwith",3526 West 43rd Street
31,"Chicago, IL - Franklin Park (Bensenville Intermodal Terminal)",10800 South Franklin Avenue
32,"Chicago, IL - Harvey",16800 Center Avenue
33,"Chicago, IL - Joliet (Global IV)",3000 Centerpoint Way
34,"Chicago, IL - Landers",7540 S. Western Avenue
35,"Chicago, IL - Logistics Park Chicago (LPC)",26664 Elwood International Port Road
36,"Chicago, IL - Rochelle (Global III)",2701 Intermodal Drive
37,"Chicago, IL - Schiller Park",9665 Lawrence Avenue
38,"Chicago, IL - Willow Springs",7600 Santa Fe Drive
39,"Chippewa Falls, WI",1160 West River Street
40,"Cincinnati, OH - Gest Street",1276 W. 8th Street
41,"Cincinnati, OH - Queensgate Yard",2149 Western Avenue
42,"Cincinnati, OH - Sharonville",3155 E. Sharon Road
43,"Cleveland, OH - Collinwood Yard",601 East 152nd Street
44,"Cocoa, FL",317 Rosa L. Jones Drive
45,"Columbus, OH",3329 Thoroughbred Drive
46,"Columbus, OH - Buckeye Yard",2351 Westbelt Drive
47,"Commerce, CA",5600 East 26th Street
48,"Council Bluffs, IA",2722 South Avenue
49,"Croxton, NJ",125 County Road
50,"Dallas, TX - Mesquite",4100 Forney Road
51,"Dallas, TX - Wilmer (Dallas Intermodal Terminal)",3701 South Interstate 45
52,"Decatur, IL - ADM Intermodal Ramp (Midwest Inland Port)",3095 E Parkway Drive
53,"Denver, CO",4085 York Street
54,"Denver, CO - Irondale",585 West 53rd Place
55,"Detroit, MI",6750 Dix Street
56,"Detroit, MI - Delray",8501 Fort Street
57,"Detroit, MI - Detroit Intermodal Terminal",12594 Westwood Street
58,"Detroit, MI - Livernois",2725 Livernois Avenue
59,"Detroit, MI - Moterm Intermodal Facility (MOT)",923 East 8-Mile Road
60,"Donna, TX - Rio Valley",100 North Whalen Road
61,"Duluth, MN - Clure Public Marine Terminal",1310 Port Terminal Drive
62,"East St. Louis, IL",3900 Rose Lake Road
63,"El Paso, TX",805 South Santa Fe Street
64,"Elizabeth Marine Terminal, NJ - ExpressRail (Port Elizabeth)",2380 Tripoli Street
65,"Erail, NJ",322 Third Street
66,"Fairburn, GA",6700 McLarin Road
67,"Fort Lauderdale, FL",3125 S. Andrews Avenue
68,"Fort Lauderdale, FL - Intermodal Container Transfer Facility (ICTF)",1500 Eller Drive
69,"Fort Pierce, FL",353 Florida Avenue
70,"Front Royal, VA - Virginia Inland Port (VIP)",Route 522 & 344 North
71,"Georgetown, KY",601 Cherry Blossom Way
72,"Greencastle, PA - Franklin County Regional Intermodal Facility",612 Antrim Commons Drive
73,"Greensboro, NC",1105 Merritt Drive
74,"Harrisburg, PA",3500 Industrial Road
75,"Houston, TX - Englewood (Wallisville Rd)",5500 Wallisville Road
76,"Houston, TX - Kendleton",11538 Gin Road
77,"Houston, TX - La Porte (Barbours Cut)",515 East Barbours Cut Boulevard
78,"Houston, TX - Pearland",214 Brisbane Street
79,"Houston, TX - Settegast (Kirkpatrick, Blvd)",6800 Kirkpatrick Boulevard
80,"Huntsville, AL",2850 Wall Triana Highway SW
81,"Indianapolis, IN",1585 South Senate Avenue
82,"Indianapolis, IN - Plainfield Intermodal Terminal",501 South County Road 800 E.
83,"Jackson, MS",360 Industrial Road
84,"Jacksonville, FL",5902 Sportsman Club Road
85,"Jacksonville, FL",6098 Soutel Drive
86,"Jacksonville, FL - Fowden Intermodal Terminal",6140 Philips Highway
87,"Jacksonville, FL - JaxPort ICTF",9600 New Berlin Road
88,"Joliet, IL",785 Draper Avenue
89,Kansas City - Logistics Park Kansas City (LPKC),32880 West 191 Street
90,"Kansas City, MO",4800 North Kimball Drive
91,"Kansas City, MO",4801 Gardner Avenue
92,"Kansas City, MO - International Freight Gateway (IFG)",3001 East 150 Hwy
93,"Kearny, NJ",700 Old Fish House Road
94,"Laredo, TX",604 Serrano Road
95,"Laredo, TX","Interstate Highway 35, North Mile Marker #12"
96,"Las Vegas, NV",4740 Tropical Parkway
97,"Lathrop, CA",1000 E. Roth Road
98,"Little Ferry, NJ",2200 83rd Street
99,"Long Beach, CA - ICTF",2401 E. Sepulveda Boulevard
100,"Long Beach, CA - International Transportation Service (ITS/Pier G)",1281 Pier G Way
101,"Long Beach, CA - Long Beach Container Terminal (LBCT/Pier E)",201 S. Pico Avenue
102,"Long Beach, CA - Pacific Container Terminal (PCT/Pier J)",1521 Pier J Avenue
103,"Long Beach, CA - SSA Terminals (Pier A)",700 Pier A Plaza
104,"Los Angeles, CA - City of Industry",17225 Arenth Avenue
105,"Los Angeles, CA - East Washington Blvd",4341 East Washington Boulevard
106,"Los Angeles, CA - Hobart",4000 East Sheila Street
107,"Los Angeles, CA - Lamar St (LATC)",750 Lamar Street
108,"Los Angeles, CA - Terminal Island Container Transfer Facility (TICTF)",701 New Dock Street
109,"Louisville, KY",8021 National Turnpike Road
110,"Louisville, KY - Appliance Park",4913 Heller Street
111,"Louisville, KY - Buechel",4705 Jennings Lane
112,"Marion, AR",5500 Kuhn Road
113,"Marion, OH - Ohio Valley Intermodal Facility",3001 Harding Highway East
114,"Memphis, TN",4814 Lamar Avenue
115,"Memphis, TN",3588 Paul R.Lowry Road
116,"Memphis, TN - Rossville",3000 Norfolk Southern Way
117,"Miami, FL",7300 N.W. 69th Avenue
118,"Miami, FL - Port of Miami Terminal Operating Company (POMTOC)",635 Australia Way
119,"Minneapolis, MN - Shoreham Yard",615 – 30th Avenue N.E.
120,"Morrisville, PA",98 Cabot Boulevard
121,"Nashville, TN",3086 Sidco Drive
122,"New Orleans, LA",539 Bridge City Avenue
123,"New Orleans, LA",2351 Hickory Avenue
124,"New Orleans, LA",2900 Florida Avenue
125,"New Orleans, LA",100 Avondale Garden Road
126,"New York Container Terminal, NY - ExpressRail (Staten Island)",300 Western Avenue
127,"Norfolk, VA - Norfolk International Terminals (NIT)",7737 Hampton Boulevard
128,"Norfolk, VA - Portlock",1710 Atlantic Avenue
129,"Norfolk, VA - Portsmouth Marine Terminal (PMT)",Intersection of Cleveland Street and Lee Avenue
130,"Norfolk, VA - Virginia International Gateway (VIG)",1000 APM Terminal Boulevard
131,"North Baltimore, OH - Northwest Ohio ICTF",17000 Deshler Road
132,"North Bergen, NJ",6201 Tonnelle Avenue
133,"Oakland, CA",1408 Middle Harbor Road
134,"Oakland, CA - Oakland International Gateway (OIG)",333 Maritime Street
135,"Omaha, NE",4370 Gibson Road
136,"Philadelphia, PA - Greenwhich",3400 S. Christopher Columbus Boulevard
137,"Phoenix, AZ - Glendale",5281 North Tom Murray Avenue
138,"Pittsburgh, PA",701 Wall Avenue
139,"Pittsburgh, PA - McKees Rocks",1000 Intermodal Way
140,"Port Newark Container Terminal, NJ - ExpressRail (Newark)",241 Calcutta Street
141,"Portland, OR - Brooklyn",1862 S.E. Holgate Boulevard
142,"Portland, OR - Terminal 2 (Guilds Lake)",3930 N.W. Yeon Road
143,"Portland, OR - Terminal 6",7201 N. Marine Drive
