,Intermodal,Truckload,ratio
"('AR', 'CA')",1.5518,1.8896,0.8212320067739205
"('AZ', 'IL')",1.0861,1.7074,0.6361133887782594
"('CA', 'AR')",2.1179,2.2574,0.9382032426685568
"('CA', 'CO')",3.4658,2.8584,1.2124965015393228
"('CA', 'FL')",1.6591,1.8444,0.8995337237041856
"('CA', 'GA')",1.5783,1.8205,0.8669596264762428
"('CA', 'IL')",1.3018,1.5997,0.8137775832968682
"('CA', 'MA')",1.4375,1.883,0.7634094530005311
"('CA', 'MN')",1.7661,2.0587,0.8578714722883373
"('CA', 'MO')",1.6472,2.1798,0.7556656573997614
"('CA', 'NJ')",1.3896,1.861,0.7466953250940355
"('CA', 'OH')",1.8244,2.5236,0.7229354889839911
"('CA', 'TN')",1.4432,2.2033,0.6550174737893161
"('CA', 'TX')",1.8788,2.0322,0.9245153036118492
"('CA', 'WA')",2.7928,2.6668,1.0472476376181192
"('CO', 'CA')",1.2005,1.2171,0.986361022101717
"('CO', 'IL')",1.1044,1.2164,0.9079250246629399
"('CO', 'PA')",1.52,1.8402,0.8259971742201935
"('CT', 'TX')",1.4416,1.5657,0.9207383279044516
"('FL', 'CA')",0.9286,1.1988,0.7746079412746079
"('FL', 'IL')",0.904,1.3065,0.6919249904324531
"('FL', 'MA')",1.8266,1.7322,1.054497171227341
"('FL', 'NJ')",1.5102,1.578,0.9570342205323193
"('FL', 'TX')",1.9076,1.5017,1.2702936671771992
"('GA', 'CA')",0.9819,1.4644,0.6705135208959301
"('GA', 'FL')",4.1431,2.7813,1.4896271527702871
"('GA', 'IL')",1.2282,1.6433,0.747398527353496
"('GA', 'NJ')",2.0496,2.3069,0.8884650396636177
"('GA', 'PA')",2.0387,2.0387,1.0
"('GA', 'TX')",2.046,1.9481,1.0502540937323546
"('GA', 'WA')",1.1065,1.7661,0.6265217145122021
"('IL', 'AZ')",1.4001,1.8449,0.7589029215675646
"('IL', 'CA')",1.0871,1.5614,0.6962341488407839
"('IL', 'CO')",2.9855,2.63,1.135171102661597
"('IL', 'FL')",1.6983,2.2705,0.7479850253248183
"('IL', 'GA')",1.9114,2.3813,0.802670810061731
"('IL', 'MA')",1.9746,2.6754,0.7380578605068401
"('IL', 'NJ')",2.0064,2.8229,0.7107584399022282
"('IL', 'OR')",1.4438,1.7625,0.819177304964539
"('IL', 'PA')",2.5174,2.9297,0.8592688671195002
"('IL', 'TX')",2.1529,2.0344,1.0582481321274084
"('IL', 'UT')",2.0186,2.1093,0.956999952590907
"('IL', 'WA')",1.4468,1.8367,0.7877171013230251
"('MA', 'CA')",0.7579,1.2803,0.5919706318831524
"('MA', 'FL')",1.7439,1.86,0.9375806451612902
"('MA', 'IL')",1.0175,1.2852,0.791705571117336
"('MA', 'TX')",1.1152,1.5501,0.7194374556480226
"('MD', 'IL')",1.25,1.4551,0.8590474881451446
"('MN', 'CA')",1.4885,1.891,0.7871496562665256
"('MO', 'CA')",1.3152,1.8036,0.729208250166334
"('MO', 'OR')",1.9028,2.4375,0.7806358974358975
"('NC', 'CA')",1.0182,1.4383,0.7079190711256345
"('NC', 'FL')",2.6214,2.581,1.0156528477334366
"('NC', 'IL')",1.8007,1.7939,1.0037906237805898
"('NJ', 'CA')",0.7759,1.2947,0.5992894106742875
"('NJ', 'CO')",1.8731,1.8273,1.0250643025228479
"('NJ', 'FL')",1.808,1.8717,0.9659667681786612
"('NJ', 'GA')",1.8242,1.6068,1.1352999751058004
"('NJ', 'IL')",1.1756,1.4416,0.8154827968923418
"('NJ', 'MO')",0.9224,1.5201,0.6068021840668377
"('NJ', 'TX')",1.4169,1.5107,0.9379095783411664
"('NJ', 'WA')",1.0124,1.5656,0.64665304036791
"('NV', 'TX')",2.2561,2.1168,1.0658068783068784
"('NY', 'FL')",1.9183,2.0529,0.9344342150129085
"('NY', 'IL')",1.4633,1.6997,0.8609166323468848
"('OH', 'CA')",1.4433,1.5716,0.9183634512598625
"('OH', 'TX')",1.7852,1.5525,1.1498872785829306
"('OR', 'CA')",1.2994,1.4391,0.9029254395108054
"('OR', 'IL')",0.8777,1.4279,0.6146788990825689
"('PA', 'IL')",1.4235,1.5353,0.9271803556308212
"('PA', 'TX')",1.2879,1.6049,0.8024799052900492
"('SC', 'IL')",1.7267,1.5493,1.1145033240818434
"('TN', 'CA')",1.1434,1.8083,0.6323065862965216
"('TX', 'CA')",1.0128,1.537,0.6589459986987638
"('TX', 'GA')",1.8137,1.73,1.0483815028901735
"('TX', 'IL')",1.5215,1.6875,0.9016296296296297
"('TX', 'MA')",1.4745,2.1305,0.6920910584369866
"('TX', 'NC')",2.2811,1.8677,1.221341757241527
"('TX', 'NJ')",1.6629,1.9274,0.8627684964200477
"('TX', 'NV')",1.9779,1.9135,1.033655604912464
"('TX', 'OH')",1.8499,1.8075,1.0234578146611342
"('TX', 'PA')",1.8191,1.9898,0.9142124836667002
"('TX', 'WA')",1.4397,1.8814,0.7652280216859785
"('UT', 'CA')",1.5078,1.2957,1.1636952998379253
"('UT', 'IL')",1.0332,1.5947,0.6478961560168056
"('WA', 'CA')",1.3269,1.3742,0.9655799738029398
"('WA', 'GA')",1.1255,1.621,0.6943244910549043
"('WA', 'IL')",1.0082,1.4417,0.6993133106748977
"('WA', 'NJ')",1.1844,1.6839,0.7033671833244254
"('WA', 'TX')",1.5171,1.6692,0.9088785046728971
range1,2.0387,1.9813,1.0289708777065563
range2,1.6667,1.8382,0.9067022086824067
range3,1.5851,1.799,0.881100611450806
range4,1.2187,1.6072,0.7582752613240418
range5,1.1023,1.6118,0.6838937833478099
