,x,y,geometry,trans_mode
328551,-115.153,42.9465,POINT (-115.153 42.9465),rail
328499,-115.209,43.0023,POINT (-115.209 43.0023),rail
332427,-112.125,43.7148,POINT (-112.125 43.7148),rail
326437,-116.973,43.9891,POINT (-116.973 43.9891),rail
326457,-116.966,44.0127,POINT (-116.966 44.0127),rail
326458,-116.965,44.013,POINT (-116.965 44.013),rail
326471,-116.963,44.0202,POINT (-116.963 44.0202),rail
333098,-111.999,42.7564,POINT (-111.999 42.7564),rail
327410,-116.474,43.5299,POINT (-116.474 43.5299),rail
332086,-112.193,42.6556,POINT (-112.193 42.6556),rail
332108,-112.189,42.6439,POINT (-112.189 42.6439),rail
326267,-117.016,47.7463,POINT (-117.016 47.7463),rail
326307,-117.004,47.7513,POINT (-117.004 47.7513),rail
327169,-116.563,43.5864,POINT (-116.563 43.5864),rail
327173,-116.562,43.5821,POINT (-116.562 43.5821),rail
326847,-116.746,47.9775,POINT (-116.746 47.9775),rail
331731,-112.349,43.1873,POINT (-112.349 43.1873),rail
331736,-112.349,43.1853,POINT (-112.349 43.1853),rail
304881,-122.666,45.5275,POINT (-122.666 45.5275),rail
314700,-120.982,45.651,POINT (-120.982 45.651),rail
301635,-123.108,44.6191,POINT (-123.108 44.6191),rail
319826,-118.871,45.6602,POINT (-118.871 45.6602),rail
326338,-116.992,43.8745,POINT (-116.992 43.8745),rail
323985,-117.841,45.0774,POINT (-117.841 45.0774),rail
323593,-117.938,44.9101,POINT (-117.938 44.9101),rail
327676,-116.222,43.4215,POINT (-116.222 43.4215),rail
349170,-100.395,48.0075,POINT (-100.395 48.0075),rail
345975,-101.904,47.9935,POINT (-101.904 47.9935),rail
345974,-101.905,47.9913,POINT (-101.905 47.9913),rail
356236,-97.5614,47.1385,POINT (-97.56140000000001 47.1385),rail
356581,-97.4941,47.0435,POINT (-97.4941 47.0435),rail
350421,-99.4099,47.5555,POINT (-99.40989999999999 47.5555),rail
359698,-97.0839,47.9185,POINT (-97.0839 47.9185),rail
355931,-97.6118,47.9037,POINT (-97.6118 47.9037),rail
355913,-97.614,47.9017,POINT (-97.614 47.9017),rail
349166,-100.396,47.9236,POINT (-100.396 47.9236),rail
349184,-100.383,47.9226,POINT (-100.383 47.9226),rail
349168,-100.396,47.9258,POINT (-100.396 47.9258),rail
347143,-101.678,47.9166,POINT (-101.678 47.9166),rail
349335,-100.23,47.8798,POINT (-100.23 47.8798),rail
349323,-100.246,47.8864,POINT (-100.246 47.8864),rail
347714,-101.31,47.815,POINT (-101.31 47.815),rail
347717,-101.308,47.8129,POINT (-101.308 47.8129),rail
353095,-98.3221,47.7885,POINT (-98.32210000000001 47.7885),rail
359523,-97.1098,47.6721,POINT (-97.10980000000001 47.6721),rail
359512,-97.1107,47.6805,POINT (-97.11069999999999 47.6805),rail
353947,-98.0697,47.7133,POINT (-98.0697 47.7133),rail
354202,-97.989,47.6822,POINT (-97.989 47.6822),rail
350885,-99.1472,47.6798,POINT (-99.1472 47.6798),rail
350853,-99.1727,47.6882,POINT (-99.17270000000001 47.6882),rail
354607,-97.896,47.6007,POINT (-97.896 47.6007),rail
354506,-97.9224,47.2458,POINT (-97.9224 47.2458),rail
354345,-97.9578,47.2575,POINT (-97.95780000000001 47.2575),rail
357408,-97.3853,47.0939,POINT (-97.3853 47.0939),rail
356254,-97.5571,47.1373,POINT (-97.55710000000001 47.1373),rail
354815,-97.8632,46.822,POINT (-97.86320000000001 46.822),rail
344518,-102.997,46.8627,POINT (-102.997 46.8627),rail
326810,-116.785,48.1057,POINT (-116.785 48.1057),rail
327217,-116.549,48.2941,POINT (-116.549 48.2941),rail
327271,-116.546,48.2967,POINT (-116.546 48.2967),rail
327399,-116.489,48.365,POINT (-116.489 48.365),rail
327425,-116.463,48.4776,POINT (-116.463 48.4776),rail
327477,-116.399,48.5383,POINT (-116.399 48.5383),rail
331043,-112.657,46.004,POINT (-112.657 46.004),rail
330915,-112.746,45.7497,POINT (-112.746 45.7497),rail
331024,-112.665,46.0005,POINT (-112.665 46.0005),rail
331172,-112.546,45.9942,POINT (-112.546 45.9942),rail
331012,-112.67,46.0045,POINT (-112.67 46.0045),rail
332134,-112.185,47.8166,POINT (-112.185 47.8166),rail
332541,-112.094,47.7289,POINT (-112.094 47.7289),rail
334215,-111.784,47.7218,POINT (-111.784 47.7218),rail
333893,-111.899,47.6938,POINT (-111.899 47.6938),rail
334373,-111.688,47.7192,POINT (-111.688 47.7192),rail
336207,-109.746,46.6696,POINT (-109.746 46.6696),rail
330996,-112.684,45.628,POINT (-112.684 45.628),rail
336704,-108.778,45.6669,POINT (-108.778 45.6669),rail
336717,-108.773,45.6655,POINT (-108.773 45.6655),rail
352870,-98.376,48.7601,POINT (-98.376 48.7601),rail
352872,-98.3752,48.7597,POINT (-98.37520000000001 48.7597),rail
351397,-98.8659,48.1155,POINT (-98.8659 48.1155),rail
351399,-98.8653,48.1125,POINT (-98.8653 48.1125),rail
352952,-98.3523,48.0404,POINT (-98.3523 48.0404),rail
357460,-97.3816,47.9191,POINT (-97.38160000000001 47.9191),rail
358249,-97.3275,47.5061,POINT (-97.3275 47.5061),rail
358160,-97.3321,47.5152,POINT (-97.3321 47.5152),rail
357573,-97.3693,47.5611,POINT (-97.3693 47.5611),rail
357643,-97.364,47.5566,POINT (-97.364 47.5566),rail
356765,-97.4691,47.6452,POINT (-97.4691 47.6452),rail
356239,-97.561,47.7273,POINT (-97.56100000000001 47.7273),rail
358382,-97.3231,47.4977,POINT (-97.3231 47.4977),rail
357534,-97.3729,48.3032,POINT (-97.3729 48.3032),rail
357363,-97.3891,48.3547,POINT (-97.3891 48.3547),rail
346821,-101.787,47.2614,POINT (-101.787 47.2614),rail
361218,-96.8319,46.8942,POINT (-96.8319 46.8942),rail
358974,-97.2153,47.0329,POINT (-97.2153 47.0329),rail
356107,-97.5937,46.6213,POINT (-97.5937 46.6213),rail
356050,-97.6027,46.6266,POINT (-97.6027 46.6266),rail
345857,-101.991,45.9446,POINT (-101.991 45.9446),rail
352444,-98.4786,44.4105,POINT (-98.4786 44.4105),rail
358917,-97.2261,45.335,POINT (-97.2261 45.335),rail
305543,-122.444,48.9478,POINT (-122.444 48.9478),rail
302738,-122.909,46.1755,POINT (-122.909 46.1755),rail
302731,-122.91,46.1712,POINT (-122.91 46.1712),rail
316367,-120.139,47.3705,POINT (-120.139 47.3705),rail
304942,-122.651,45.6176,POINT (-122.651 45.6176),rail
305963,-122.405,47.2411,POINT (-122.405 47.2411),rail
326329,-116.994,43.8676,POINT (-116.994 43.8676),rail
302477,-122.951,46.1146,POINT (-122.951 46.1146),rail
302768,-122.904,46.1097,POINT (-122.904 46.1097),rail
302584,-122.933,46.1094,POINT (-122.933 46.1094),rail
304747,-122.685,45.6306,POINT (-122.685 45.6306),rail
304653,-122.687,45.634,POINT (-122.687 45.634),rail
307974,-122.319,47.5531,POINT (-122.319 47.5531),rail
333266,-111.982,42.1774,POINT (-111.982 42.1774),rail
327043,-116.577,43.6193,POINT (-116.577 43.6193),rail
327004,-116.588,43.6424,POINT (-116.588 43.6424),rail
333254,-111.984,42.2707,POINT (-111.984 42.2707),rail
332451,-112.119,42.4171,POINT (-112.119 42.4171),rail
326695,-116.869,47.3411,POINT (-116.869 47.3411),rail
327138,-116.567,43.5853,POINT (-116.567 43.5853),rail
327177,-116.559,48.197,POINT (-116.559 48.197),rail
